--------------------------------------------------
492 cases of STEM IN BOTH
--------------------------------------------------
Case 01: akzyamARa: identical in BOTH
Case 02: aNgyamAna: identical in BOTH
Case 03: acyamAna: identical in BOTH
Case 04: ajyamAna: identical in BOTH
Case 05: awyamAna: identical in BOTH
Case 06: atyamAna: identical in BOTH
Case 07: adyamAna: identical in BOTH
Case 08: amyamAna: identical in BOTH
Case 09: arTyamAna: identical in BOTH
Case 10: ardyamAna: identical in BOTH
Case 11: aryamARa: identical in BOTH
Case 12: arhyamARa: identical in BOTH
Case 13: avyamAna: identical in BOTH
Case 14: aSyamAna: identical in BOTH
Case 15: asyamAna: identical in BOTH
Case 16: ApyamAna: identical in BOTH
Case 17: AsyamAna: identical in BOTH
Case 18: iNgyamAna: identical in BOTH
Case 19: ijyamAna: identical in BOTH
Case 20: iDyamAna: identical in BOTH
Case 21: indyamAna: identical in BOTH
Case 22: invyamAna: identical in BOTH
Case 23: ilyamAna: identical in BOTH
Case 24: izyamARa: identical in BOTH
Case 25: IkzyamARa: identical in BOTH
Case 26: INKyamAna: identical in BOTH
Case 27: IqyamAna: identical in BOTH
Case 28: IyamAna: identical in BOTH
Case 29: IryamARa: identical in BOTH
Case 30: IzyamARa: identical in BOTH
Case 31: IhyamAna: identical in BOTH
Case 32: ukzyamARa: identical in BOTH
Case 33: ucyamAna: identical in BOTH
Case 34: ujJyamAna: identical in BOTH
Case 35: uYCyamAna: identical in BOTH
Case 36: udyamAna: identical in BOTH
Case 37: upyamAna: identical in BOTH
Case 38: uByamAna: identical in BOTH
Case 39: uSyamAna: identical in BOTH
Case 40: uzyamARa: identical in BOTH
Case 41: uhyamAna: identical in BOTH
Case 42: UyamAna: identical in BOTH
Case 43: UhyamAna: identical in BOTH
Case 44: fcyamAna: identical in BOTH
Case 45: fjyamAna: identical in BOTH
Case 46: fDyamAna: identical in BOTH
Case 47: fzyamARa: identical in BOTH
Case 48: ejyamAna: identical in BOTH
Case 49: eDyamAna: identical in BOTH
Case 50: kaRqyamAna: identical in BOTH
Case 51: katTyamAna: identical in BOTH
Case 52: kaTyamAna: identical in BOTH
Case 53: kampyamAna: identical in BOTH
Case 54: kalyamAna: identical in BOTH
Case 55: kazyamARa: identical in BOTH
Case 56: kasyamAna: identical in BOTH
Case 57: kANkzyamARa: identical in BOTH
Case 58: kASyamAna: identical in BOTH
Case 59: kIrtyamAna: identical in BOTH
Case 60: kIryamARa: identical in BOTH
Case 61: kIlyamAna: identical in BOTH
Case 62: kucyamAna: identical in BOTH
Case 63: kuwyamAna: identical in BOTH
Case 64: kuRWyamAna: identical in BOTH
Case 65: kuRqyamAna: identical in BOTH
Case 66: kutsyamAna: identical in BOTH
Case 67: kunTyamAna: identical in BOTH
Case 68: kupyamAna: identical in BOTH
Case 69: kulyamAna: identical in BOTH
Case 70: kUjyamAna: identical in BOTH
Case 71: kftyamAna: identical in BOTH
Case 72: kfpyamARa: identical in BOTH
Case 73: kfSyamAna: identical in BOTH
Case 74: kfzyamARa: identical in BOTH
Case 75: krandyamAna: identical in BOTH
Case 76: kramyamARa: identical in BOTH
Case 77: kriyamARa: identical in BOTH
Case 78: krIqyamAna: identical in BOTH
Case 79: krIyamARa: identical in BOTH
Case 80: kruDyamAna: identical in BOTH
Case 81: kruSyamAna: identical in BOTH
Case 82: klamyamAna: identical in BOTH
Case 83: klavyamAna: identical in BOTH
Case 84: klidyamAna: identical in BOTH
Case 85: kliSyamAna: identical in BOTH
Case 86: kvaTyamAna: identical in BOTH
Case 87: kzadyamAna: identical in BOTH
Case 88: kzapyamARa: identical in BOTH
Case 89: kzamyamARa: identical in BOTH
Case 90: kzaryamARa: identical in BOTH
Case 91: kzipyamARa: identical in BOTH
Case 92: kzIyamARa: identical in BOTH
Case 93: kzudyamAna: identical in BOTH
Case 94: kzuDyamAna: identical in BOTH
Case 95: kzuByamARa: identical in BOTH
Case 96: kzviqyamAna: identical in BOTH
Case 97: KanyamAna: identical in BOTH
Case 98: KAdyamAna: identical in BOTH
Case 99: KidyamAna: identical in BOTH
Case 100: KelyamAna: identical in BOTH
Case 101: gajyamAna: identical in BOTH
Case 102: gaRyamAna: identical in BOTH
Case 103: gadyamAna: identical in BOTH
Case 104: gamyamAna: identical in BOTH
Case 105: garjyamAna: identical in BOTH
Case 106: gardyamAna: identical in BOTH
Case 107: garhyamARa: identical in BOTH
Case 108: galByamAna: identical in BOTH
Case 109: galyamAna: identical in BOTH
Case 110: gAhyamAna: identical in BOTH
Case 111: gIyamAna: identical in BOTH
Case 112: gIryamARa: identical in BOTH
Case 113: gujyamAna: identical in BOTH
Case 114: guPyamAna: identical in BOTH
Case 115: guryamARa: identical in BOTH
Case 116: guhyamAna: identical in BOTH
Case 117: gfDyamAna: identical in BOTH
Case 118: gfhyamARa: identical in BOTH
Case 119: gopyamAna: identical in BOTH
Case 120: graTyamAna: identical in BOTH
Case 121: grasyamAna: identical in BOTH
Case 122: GawwyamAna: identical in BOTH
Case 123: GawyamAna: identical in BOTH
Case 124: GuzyamARa: identical in BOTH
Case 125: GUrRyamAna: identical in BOTH
Case 126: GfzyamARa: identical in BOTH
Case 127: GriyamARa: identical in BOTH
Case 128: cakAsyamAna: identical in BOTH
Case 129: cakzyamARa: identical in BOTH
Case 130: cawyamAna: identical in BOTH
Case 131: catyamAna: identical in BOTH
Case 132: candyamAna: identical in BOTH
Case 133: camyamAna: identical in BOTH
Case 134: caryamARa: identical in BOTH
Case 135: calyamAna: identical in BOTH
Case 136: cityamAna: identical in BOTH
Case 137: cIyamAna: identical in BOTH
Case 138: cudyamAna: identical in BOTH
Case 139: cumbyamAna: identical in BOTH
Case 140: cUzyamARa: identical in BOTH
Case 141: cezwyamAna: identical in BOTH
Case 142: coryamARa: identical in BOTH
Case 143: CadyamAna: identical in BOTH
Case 144: CidyamAna: identical in BOTH
Case 145: jakzyamARa: identical in BOTH
Case 146: janyamAna: identical in BOTH
Case 147: japyamAna: identical in BOTH
Case 148: jaByamAna: identical in BOTH
Case 149: jamyamAna: identical in BOTH
Case 150: jalpyamAna: identical in BOTH
Case 151: jasyamAna: identical in BOTH
Case 152: jAgaryamARa: identical in BOTH
Case 153: jinvyamAna: identical in BOTH
Case 154: jIyamAna: identical in BOTH
Case 155: jIryamARa: identical in BOTH
Case 156: jIvyamAna: identical in BOTH
Case 157: juzyamARa: identical in BOTH
Case 158: jfmByamARa: identical in BOTH
Case 159: jYAyamAna: identical in BOTH
Case 160: jyutyamAna: identical in BOTH
Case 161: jvalyamAna: identical in BOTH
Case 162: qambyamAna: identical in BOTH
Case 163: qIyamAna: identical in BOTH
Case 164: takyamAna: identical in BOTH
Case 165: takzyamARa: identical in BOTH
Case 166: tandryamARa: identical in BOTH
Case 167: tanyamAna: identical in BOTH
Case 168: tapyamAna: identical in BOTH
Case 169: tamyamAna: identical in BOTH
Case 170: tarkyamARa: identical in BOTH
Case 171: tarjyamAna: identical in BOTH
Case 172: tijyamAna: identical in BOTH
Case 173: tIryamARa: identical in BOTH
Case 174: tudyamAna: identical in BOTH
Case 175: tupyamAna: identical in BOTH
Case 176: tuzyamARa: identical in BOTH
Case 177: tfdyamAna: identical in BOTH
Case 178: tfpyamARa: identical in BOTH
Case 179: tfzyamARa: identical in BOTH
Case 180: tyajyamAna: identical in BOTH
Case 181: trapyamARa: identical in BOTH
Case 182: trasyamAna: identical in BOTH
Case 183: truwyamAna: identical in BOTH
Case 184: tvakzyamARa: identical in BOTH
Case 185: tvaryamARa: identical in BOTH
Case 186: tvizyamARa: identical in BOTH
Case 187: tsaryamARa: identical in BOTH
Case 188: dakzyamARa: identical in BOTH
Case 189: daGyamAna: identical in BOTH
Case 190: daByamAna: identical in BOTH
Case 191: damyamAna: identical in BOTH
Case 192: dayyamAna: identical in BOTH
Case 193: dalyamAna: identical in BOTH
Case 194: daSyamAna: identical in BOTH
Case 195: dasyamAna: identical in BOTH
Case 196: dahyamAna: identical in BOTH
Case 197: dASyamAna: identical in BOTH
Case 198: diSyamAna: identical in BOTH
Case 199: dihyamAna: identical in BOTH
Case 200: dIkzyamARa: identical in BOTH
Case 201: dIpyamAna: identical in BOTH
Case 202: dIyamAna: identical in BOTH
Case 203: dIryamARa: identical in BOTH
Case 204: dIvyamAna: identical in BOTH
Case 205: duzyamARa: identical in BOTH
Case 206: duhyamAna: identical in BOTH
Case 207: dUyamAna: identical in BOTH
Case 208: dfpyamARa: identical in BOTH
Case 209: dfByamARa: identical in BOTH
Case 210: dfSyamAna: identical in BOTH
Case 211: dfhyamARa: identical in BOTH
Case 212: devyamAna: identical in BOTH
Case 213: druhyamARa: identical in BOTH
Case 214: dvizyamARa: identical in BOTH
Case 215: DamyamAna: identical in BOTH
Case 216: DAvyamAna: identical in BOTH
Case 217: DIyamAna: identical in BOTH
Case 218: DukzyamARa: identical in BOTH
Case 219: DUyamAna: identical in BOTH
Case 220: DfzyamARa: identical in BOTH
Case 221: DriyamARa: identical in BOTH
Case 222: DrUyamARa: identical in BOTH
Case 223: DvanyamAna: identical in BOTH
Case 224: DvaryamARa: identical in BOTH
Case 225: DvANkzyamARa: identical in BOTH
Case 226: nakzyamARa: identical in BOTH
Case 227: nawyamAna: identical in BOTH
Case 228: nadyamAna: identical in BOTH
Case 229: nandyamAna: identical in BOTH
Case 230: namyamAna: identical in BOTH
Case 231: nardyamAna: identical in BOTH
Case 232: naSyamAna: identical in BOTH
Case 233: nahyamAna: identical in BOTH
Case 234: nATyamAna: identical in BOTH
Case 235: nijyamAna: identical in BOTH
Case 236: nindyamAna: identical in BOTH
Case 237: nIyamAna: identical in BOTH
Case 238: nudyamAna: identical in BOTH
Case 239: nUyamAna: identical in BOTH
Case 240: nftyamAna: identical in BOTH
Case 241: pacyamAna: identical in BOTH
Case 242: pawyamAna: identical in BOTH
Case 243: paWyamAna: identical in BOTH
Case 244: paRyamAna: identical in BOTH
Case 245: patyamAna: identical in BOTH
Case 246: paTyamAna: identical in BOTH
Case 247: padyamAna: identical in BOTH
Case 248: parTyamAna: identical in BOTH
Case 249: palAyyamAna: identical in BOTH
Case 250: piSyamAna: identical in BOTH
Case 251: pizyamARa: identical in BOTH
Case 252: pIqyamAna: identical in BOTH
Case 253: pIyamAna: identical in BOTH
Case 254: puTyamAna: identical in BOTH
Case 255: puzyamARa: identical in BOTH
Case 256: pUjyamAna: identical in BOTH
Case 257: pUyamAna: identical in BOTH
Case 258: pUyyamAna: identical in BOTH
Case 259: pUryamARa: identical in BOTH
Case 260: pfcyamAna: identical in BOTH
Case 261: pfzyamARa: identical in BOTH
Case 262: pyAyyamAna: identical in BOTH
Case 263: praTyamAna: identical in BOTH
Case 264: priyamARa: identical in BOTH
Case 265: prIyamARa: identical in BOTH
Case 266: prUyamARa: identical in BOTH
Case 267: pluzyamARa: identical in BOTH
Case 268: PalyamAna: identical in BOTH
Case 269: PullyamAna: identical in BOTH
Case 270: baDyamAna: identical in BOTH
Case 271: balyamAna: identical in BOTH
Case 272: bADyamAna: identical in BOTH
Case 273: buDyamAna: identical in BOTH
Case 274: bfhyamARa: identical in BOTH
Case 275: BakzyamARa: identical in BOTH
Case 276: BajyamAna: identical in BOTH
Case 277: BaRqyamAna: identical in BOTH
Case 278: BaRyamAna: identical in BOTH
Case 279: BandyamAna: identical in BOTH
Case 280: BartsyamAna: identical in BOTH
Case 281: BazyamARa: identical in BOTH
Case 282: BasyamAna: identical in BOTH
Case 283: BAyamAna: identical in BOTH
Case 284: BAzyamARa: identical in BOTH
Case 285: BAsyamAna: identical in BOTH
Case 286: BidyamAna: identical in BOTH
Case 287: BIyamAna: identical in BOTH
Case 288: BujyamAna: identical in BOTH
Case 289: BUyamAna: identical in BOTH
Case 290: BUzyamARa: identical in BOTH
Case 291: BramyamARa: identical in BOTH
Case 292: BraSyamAna: identical in BOTH
Case 293: BrAjyamAna: identical in BOTH
Case 294: BriyamARa: identical in BOTH
Case 295: majjyamAna: identical in BOTH
Case 296: maRqyamAna: identical in BOTH
Case 297: maTyamAna: identical in BOTH
Case 298: madyamAna: identical in BOTH
Case 299: mandyamAna: identical in BOTH
Case 300: manyamAna: identical in BOTH
Case 301: marqyamAna: identical in BOTH
Case 302: mahyamAna: identical in BOTH
Case 303: mArgyamARa: identical in BOTH
Case 304: miTyamAna: identical in BOTH
Case 305: midyamAna: identical in BOTH
Case 306: milyamAna: identical in BOTH
Case 307: mizyamARa: identical in BOTH
Case 308: mihyamAna: identical in BOTH
Case 309: mIyamAna: identical in BOTH
Case 310: mIlyamAna: identical in BOTH
Case 311: mucyamAna: identical in BOTH
Case 312: mudyamAna: identical in BOTH
Case 313: muzyamARa: identical in BOTH
Case 314: muhyamAna: identical in BOTH
Case 315: mUzyamARa: identical in BOTH
Case 316: mfjyamAna: identical in BOTH
Case 317: mfqyamAna: identical in BOTH
Case 318: mfdyamAna: identical in BOTH
Case 319: mfDyamAna: identical in BOTH
Case 320: mfSyamAna: identical in BOTH
Case 321: mfzyamARa: identical in BOTH
Case 322: medyamAna: identical in BOTH
Case 323: mokzyamARa: identical in BOTH
Case 324: mnAyamAna: identical in BOTH
Case 325: mriyamARa: identical in BOTH
Case 326: yatyamAna: identical in BOTH
Case 327: yaByamAna: identical in BOTH
Case 328: yamyamAna: identical in BOTH
Case 329: yasyamAna: identical in BOTH
Case 330: yAcyamAna: identical in BOTH
Case 331: yujyamAna: identical in BOTH
Case 332: yuDyamAna: identical in BOTH
Case 333: yUyamAna: identical in BOTH
Case 334: raMhyamARa: identical in BOTH
Case 335: rakzyamARa: identical in BOTH
Case 336: racyamAna: identical in BOTH
Case 337: rajyamAna: identical in BOTH
Case 338: raRyamAna: identical in BOTH
Case 339: radyamAna: identical in BOTH
Case 340: raDyamAna: identical in BOTH
Case 341: raByamARa: identical in BOTH
Case 342: ramyamARa: identical in BOTH
Case 343: rahyamARa: identical in BOTH
Case 344: rAjyamAna: identical in BOTH
Case 345: rADyamAna: identical in BOTH
Case 346: ricyamAna: identical in BOTH
Case 347: rizyamARa: identical in BOTH
Case 348: rIyamARa: identical in BOTH
Case 349: rujyamAna: identical in BOTH
