akz aor 5A:[Akzizwa AkzizAtAm Akzizata AkzizWAH AkzizATAm AkziDvam Akzizi Akzizvahi Akzizmahi]
akz aor 5P:[AkzIt AkzizwAm AkzizuH AkzIH Akzizwam Akzizwa Akzizam Akzizva Akzizma]
aj aor 5A:[nil nil nil nil nil nil nil nil nil]
aj aor 5P:[AjIt AjizwAm AjizuH AjIH Ajizwam Ajizwa Ajizam Ajizva Ajizma]
am aor 3A:[nil nil nil nil nil nil nil nil nil]
am aor 3P:[nil nil nil nil nil nil nil nil nil]
as aor 2P:[AsTat AsTatAm AsTan AsTaH AsTatam AsTata AsTam AsTAva AsTAma]
Ap aor 2A:[nil nil nil nil nil nil nil nil nil]
Ap aor 2P:[Apat ApatAm Apan ApaH Apatam Apata Apam ApAva ApAma]
Ap aor 4A:[nil nil nil nil nil nil nil nil nil]
Ap aor 4P:[nil nil nil nil nil nil nil nil nil]
As aor 5A:[Asizwa AsizAtAm Asizata AsizWAH AsizATAm AsiDvam Asizi Asizvahi Asizmahi]
As aor 5P:[nil nil nil nil nil nil nil nil nil]
iz aor 5A:[nil nil nil nil nil nil nil nil nil]
iz aor 5P:[EzIt EzizwAm EzizuH EzIH Ezizwam Ezizwa Ezizam Ezizva Ezizma]
Ikz aor 1A:[nil nil nil nil nil nil nil nil nil]
Ikz aor 3P:[nil nil nil nil nil nil nil nil nil]
Ikz aor 5A:[Ekzizwa EkzizAtAm Ekzizata EkzizWAH EkzizATAm EkziDvam Ekzizi Ekzizvahi Ekzizmahi]
Ikz aor 5P:[nil nil nil nil nil nil nil nil nil]
ukz aor 5A:[Okzizwa OkzizAtAm Okzizata OkzizWAH OkzizATAm OkziDvam Okzizi Okzizvahi Okzizmahi]
ukz aor 5P:[OkzIt OkzizwAm OkzizuH OkzIH Okzizwam Okzizwa Okzizam Okzizva Okzizma]
uc aor 5A:[nil nil nil nil nil nil nil nil nil]
uc aor 5P:[OcIt OcizwAm OcizuH OcIH Ocizwam Ocizwa Ocizam Ocizva Ocizma]
uz aor 5A:[nil nil nil nil nil nil nil nil nil]
uz aor 5P:[OzIt OzizwAm OzizuH OzIH Ozizwam Ozizwa Ozizam Ozizva Ozizma]
Uh aor 5A:[Ohizwa OhizAtAm Ohizata OhizWAH OhizATAm OhiDvam Ohizi Ohizvahi Ohizmahi]
Uh aor 5P:[OhIt OhizwAm OhizuH OhIH Ohizwam Ohizwa Ohizam Ohizva Ohizma]
f aor 2P:[Arat AratAm Aran AraH Aratam Arata Aram ArAva ArAma]
fc aor 3A:[nil nil nil nil nil nil nil nil nil]
fc aor 3P:[nil nil nil nil nil nil nil nil nil]
fc aor 5A:[nil nil nil nil nil nil nil nil nil]
fc aor 5P:[ArcIt ArcizwAm ArcizuH ArcIH Arcizwam Arcizwa Arcizam Arcizva Arcizma]
kaT aor 3A:[nil nil nil nil nil nil nil nil nil]
kaT aor 3P:[acakaTat acakaTatAm acakaTan acakaTaH acakaTatam acakaTata acakaTam acakaTAva acakaTAma]
kan aor 5A:[nil nil nil nil nil nil nil nil nil]
kan aor 5P:[(akanIt akAnIt) (akanizwAm akAnizwAm) (akanizuH akAnizuH) (akanIH akAnIH) (akanizwam akAnizwam) (akanizwa akAnizwa) (akanizam akAnizam) (akanizva akAnizva) (akanizma akAnizma)]
kf aor 1A:[nil nil nil nil nil nil nil nil nil]
kf aor 1P:[nil nil nil nil nil nil nil nil nil]
kf aor 1Q:[nil nil nil nil nil nil nil nil nil]
kf aor 4A:[akfta akfzAtAm akfzata akfTAH akfzATAm akfQvam akfzi akfzvahi akfzmahi]
kf aor 4P:[akArzIt akArzwAm akArzuH akArzIH akArzwam akArzwa akArzam akArzva akArzma]
