2212
0 duplicate normalized root spellings
2212 records written to verbdata_map.txt
WARNING: vals wrong length: ('aMsa', u'10', u'0460') => [u'aMsa']
WARNING: vals wrong length: ('aka!', u'01', u'0901') => [u'ak']
WARNING: vals wrong length: ('aki!', u'01', u'0092') => [u'aNk']
WARNING: vals wrong length: ('akzU!', u'01', u'0742') => [u'akz']
WARNING: vals wrong length: ('aga!', u'01', u'0902') => [u'ag']
WARNING: vals wrong length: ('agi!', u'01', u'0155') => [u'aNg']
WARNING: vals wrong length: ('aGi!', u'01', u'0115') => [u'aNG']
WARNING: vals wrong length: ('aNka', u'10', u'0473') => [u'aNka']
WARNING: vals wrong length: ('aNga', u'10', u'0474') => [u'aNga']
WARNING: vals wrong length: ('aci!', u'01', u'1000') => [u'aYc']
WARNING: vals wrong length: ('acu!', u'01', u'0999') => [u'ac']
WARNING: vals wrong length: ('aja!', u'01', u'0262') => [u'aj']
WARNING: vals wrong length: ('aji!', u'10', u'0316') => [u'aYj']
WARNING: vals wrong length: ('aYcu!', u'01', u'0215') => [u'aYc']
WARNING: vals wrong length: ('aYcu!', u'01', u'0998') => [u'aYc']
WARNING: vals wrong length: ('aYcu!', u'10', u'0266') => [u'aYc']
WARNING: vals wrong length: ('aYjU!', u'07', u'0021') => [u'aYj']
WARNING: vals wrong length: ('awa!', u'01', u'0332') => [u'aw']
WARNING: vals wrong length: ('awwa!', u'01', u'0287') => [u'aww']
WARNING: vals wrong length: ('awwa!', u'10', u'0037') => [u'aww']
WARNING: vals wrong length: ('aWi!', u'01', u'0294') => [u'aRW']
WARNING: vals wrong length: ('aqa!', u'01', u'0414') => [u'aq']
WARNING: vals wrong length: ('aqqa!', u'01', u'0403') => [u'aqq']
WARNING: vals wrong length: ('aRa!', u'01', u'0512') => [u'aR']
WARNING: vals wrong length: ('aRa!', u'04', u'0071') => [u'aR']
WARNING: vals wrong length: ('ata!', u'01', u'0038') => [u'at']
WARNING: vals wrong length: ('ati!', u'01', u'0063') => [u'ant']
WARNING: vals wrong length: ('ada!', u'02', u'0001') => [u'ad']
WARNING: vals wrong length: ('adi!', u'01', u'0064') => [u'and']
WARNING: vals wrong length: ('adqa!', u'01', u'0403') => [u'adq']
WARNING: vals wrong length: ('ana!', u'02', u'0065') => [u'an']
WARNING: vals wrong length: ('ana!', u'04', u'0072') => [u'an']
WARNING: vals wrong length: ('anuruDa!', u'04', u'0070') => [u'anuruD']
WARNING: vals wrong length: ('anDa', u'10', u'0471') => [u'anDa']
WARNING: vals wrong length: ('abi!', u'01', u'0438') => [u'amb']
WARNING: vals wrong length: ('aBi!', u'01', u'0448') => [u'amB']
WARNING: vals wrong length: ('aBra!', u'01', u'0637') => [u'aBr']
WARNING: vals wrong length: ('ama!', u'01', u'0536') => [u'am']
WARNING: vals wrong length: ('ama!', u'10', u'0245') => [u'am']
WARNING: vals wrong length: ('aya!', u'01', u'0546') => [u'ay']
WARNING: vals wrong length: ('aya!', u'01', u'1031') => [u'ay']
WARNING: vals wrong length: ('arka!', u'10', u'0145') => [u'ark']
WARNING: vals wrong length: ('arGa!', u'01', u'0185') => [u'arG']
WARNING: vals wrong length: ('arca!', u'01', u'0232') => [u'arc']
WARNING: vals wrong length: ('arca!', u'10', u'0340') => [u'arc']
WARNING: vals wrong length: ('arja!', u'01', u'0256') => [u'arj']
WARNING: vals wrong length: ('arja!', u'10', u'0250') => [u'arj']
WARNING: vals wrong length: ('arTa', u'10', u'0447') => [u'arTa']
WARNING: vals wrong length: ('arda!', u'01', u'0057') => [u'ard']
WARNING: vals wrong length: ('arda!', u'10', u'0365') => [u'ard']
WARNING: vals wrong length: ('arba!', u'01', u'0481') => [u'arb']
WARNING: vals wrong length: ('arva!', u'01', u'0667') => [u'arv']
WARNING: vals wrong length: ('arha!', u'01', u'0841') => [u'arh']
